序列   电影名称   评星   评论人数   上映国家   上映时间   简述
60   饮食男女   9.1   454707人评价    中国台湾美国    1994    人生不能像做菜，把所有的料都准备好了才下锅。
61   美丽心灵   9.0   593137人评价    美国    2001    爱是一切逻辑和原由。
62   让子弹飞   8.8   1264209人评价    中国大陆中国香港    2010    你给我翻译翻译，神马叫做TMD的惊喜。
63   两杆大烟枪   9.1   476371人评价    英国    1998    4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
64   绿皮书   8.9   1210801人评价    美国中国大陆    2018    去除成见，需要勇气。
65   本杰明·巴顿奇事   8.9   771414人评价    美国    2008    在时间之河里感受溺水之苦。
61   美丽心灵   9.0   593137人评价    美国    2001    爱是一切逻辑和原由。
62   让子弹飞   8.8   1264209人评价    中国大陆中国香港    2010    你给我翻译翻译，神马叫做TMD的惊喜。
63   两杆大烟枪   9.1   476371人评价    英国    1998    4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
64   绿皮书   8.9   1210801人评价    美国中国大陆    2018    去除成见，需要勇气。
65   本杰明·巴顿奇事   8.9   771414人评价    美国    2008    在时间之河里感受溺水之苦。
66   飞越疯人院   9.1   458798人评价    美国    1975    自由万岁。
67   海蒂和爷爷   9.2   337409人评价    德国瑞士南非    2015    如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
68   看不见的客人   8.8   935197人评价    西班牙    2016    你以为你以为的就是你以为的。
69   西西里的美丽传说   8.9   764194人评价    意大利美国    2000    美丽无罪。
70   拯救大兵瑞恩   9.0   505622人评价    美国    1998    美利坚精神输出大片No1.
71   穿条纹睡衣的男孩   9.1   395595人评价    英国美国    2008    尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
72   小鞋子   9.2   316266人评价    伊朗    1997    奔跑的孩子是天使。
73   音乐之声   9.0   466988人评价    美国    1965    用音乐化解仇恨，让歌声串起美好。
74   情书   8.9   706290人评价    日本    1995    暗恋的极致。
75   海豚湾   9.3   301342人评价    美国    2009    海豚的微笑，是世界上最高明的伪装。
76   美国往事   9.2   326544人评价    美国意大利    1984    往事如烟，无处祭奠。
77   致命魔术   8.9   673438人评价    英国美国    2006    孪生蝙蝠侠大战克隆金刚狼。
78   沉默的羔羊   8.9   664328人评价    美国    1991    安东尼·霍普金斯的顶级表演。
79   低俗小说   8.9   650082人评价    美国    1994    故事的高级讲法。
80   禁闭岛   8.8   737831人评价    美国    2010    昔日翩翩少年，今日大腹便便。
81   蝴蝶效应   8.8   729269人评价    美国加拿大    2004    人的命运被自己瞬间的抉择改变。
82   七宗罪   8.8   760894人评价    美国    1995    警察抓小偷，老鼠玩死猫。
83   心灵捕手   8.9   548259人评价    美国    1997    人生中应该拥有这样的一段豁然开朗。
84   布达佩斯大饭店   8.9   693228人评价    美国德国英国    2014    小清新的故事里注入了大历史的情怀。
85   春光乍泄   8.9   489393人评价    中国香港日本韩国    1997    爱情纠缠，男女一致。
81   蝴蝶效应   8.8   729269人评价    美国加拿大    2004    人的命运被自己瞬间的抉择改变。
82   七宗罪   8.8   760894人评价    美国    1995    警察抓小偷，老鼠玩死猫。
83   心灵捕手   8.9   548259人评价    美国    1997    人生中应该拥有这样的一段豁然开朗。
84   布达佩斯大饭店   8.9   693228人评价    美国德国英国    2014    小清新的故事里注入了大历史的情怀。
85   春光乍泄   8.9   489393人评价    中国香港日本韩国    1997    爱情纠缠，男女一致。
86   摩登时代   9.3   223432人评价    美国    1936    大时代中的人生，小人物的悲喜。
87   被嫌弃的松子的一生   8.9   578973人评价    日本    2006    以戏谑来戏谑戏谑。
88   哈利·波特与死亡圣器(下)   8.9   603201人评价    美国英国    2011    10年的完美句点。
89   阿凡达   8.7   1028093人评价    美国英国    2009    绝对意义上的美轮美奂。
90   喜剧之王   8.8   744098人评价    中国香港    1999    我是一个演员。
91   致命ID   8.8   622992人评价    美国    2003    最不可能的那个人永远是最可能的。
92   剪刀手爱德华   8.7   865186人评价    美国    1990    浪漫忧郁的成人童话。
93   勇敢的心   8.9   474272人评价    美国    1995    史诗大片的典范。
94   加勒比海盗   8.8   687016人评价    美国    2003    约翰尼·德普的独角戏。
95   杀人回忆   8.9   526211人评价    韩国    2003    关于连环杀人悬案的集体回忆。
96   狩猎   9.1   288367人评价    丹麦瑞典    2012    人言可畏。
97   请以你的名字呼唤我   8.9   518203人评价    意大利法国巴西美国荷兰德国    2017    沉醉在电影的情感和视听氛围中无法自拔。
